exterior_color,interior_color,drivetrain,fuel_type,transmission,engine,vin,mileage,seller,reviews_count,seller_state,new_used,brand,comfort,interior_design,performance,value_for_the_money,exterior_styling,reliability,price,rating,year,model,features
lake_silver_metallic,black,all_wheel_drive,gasoline,manual_6_speed,4_cylinder_engine,truut28n211003472,111303,daytona_motor_company,,wa,used,audi,4.3,4.6,4.7,4.2,4.9,3.7,8991.0,4.4,2001,tt_roadster_quattro,"[""alloy_wheels"", ""leather_seats"", ""stability_control""]"
white,black,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,waucfafr9ba083784,73664,sprinkler_used_cars,,co,used,audi,4.7,4.7,4.7,4.7,5.0,4.6,15998.0,4.1,2011,a5_2.0t_premium,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""stability_control"", ""sunroof/moonroof""]"
silver,cardamom_beige,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,waubfafl0bn027250,113415,alta_motors,,ca,used,audi,4.7,4.6,4.7,4.2,4.9,4.4,11650.0,2.7,2011,a4_2.0t_premium_quattro,"[""alloy_wheels"", ""brake_assist"", ""leather_seats"", ""premium_sound_system"", ""stability_control""]"
montecarlo_blue_metallic,tan_/_black,rear_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zarfambn4m7647818,1919,russell_westbrook_alfa_romeo_maserati_fiat,106,ca,used,alfa,5.0,5.0,5.0,5.0,5.0,5.0,37259.0,4.5,2021,romeo_giulia_ti,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""heated_steering_wheel"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""remote_start"", ""stability_control"", ""sunroof/moonroof""]"
daytona_gray_pearl,black,all_wheel_drive,gasoline,8_speed_automatic,3.0l_v6_24v_gdi_dohc_supercharged,wa1ccafpxga038378,54221,elliott_bay_auto_brokers,,wa,used,audi,4.6,4.8,4.9,4.6,4.9,4.6,30880.0,4.7,2016,sq5_3.0t_premium_plus,"[""adaptive_cruise_control"", ""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
silverstone_gray_metallic,red_/_black,rear_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_sohc_turbo,zarfaman0m7647431,7431,russell_westbrook_alfa_romeo_maserati_fiat,106,ca,used,alfa,5.0,5.0,5.0,5.0,5.0,5.0,33995.0,4.5,2021,romeo_giulia_base,"[""alloy_wheels"", ""apple_carplay/android_auto"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""remote_start"", ""stability_control"", ""usb_port""]"
charcoal,black,all_wheel_drive,gasoline,8_speed_automatic,3.0l_v6_24v_gdi_dohc_supercharged,wauggafc1cn166615,137167,auto_sales_express,,ma,used,audi,4.8,4.7,4.7,4.5,4.7,4.6,13495.0,4.5,2012,a6_3.0t_premium_plus_quattro,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""stability_control""]"
ibis_white,cardamon_beige,all_wheel_drive,gasoline,8_speed_automatic,2.0l_i4_16v_gdi_dohc_turbo,wauvfafhxbn013851,73076,mint_motors,,fl,used,audi,4.7,4.7,4.7,4.7,5.0,4.6,16900.0,4.1,2011,a5_2.0t_prestige_quattro,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""premium_sound_system"", ""stability_control""]"
black,black,all_wheel_drive,gasoline,automatic_8_speed,4_cylinder_engine,wa1cfafpxda020871,85651,arno_cars,,ca,used,audi,4.7,4.7,4.5,4.2,4.6,4.3,14999.0,4.5,2013,q5_2.0t_premium,"[""alloy_wheels"", ""brake_assist"", ""leather_seats"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""tow_hitch"", ""usb_port""]"
ice_silver_metallic,,all_wheel_drive,gasoline,8_speed_automatic,3.0l_v6_24v_gdi_dohc_supercharged,wa1lgafe5ed017470,108481,five_star_motors_inc.,,wa,used,audi,4.8,4.7,4.9,4.6,4.8,4.8,18388.0,4.4,2014,q7_3.0t_premium_plus,"[""alloy_wheels"", ""bluetooth"", ""brake_assist"", ""leather_seats"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""third_row_seating""]"
ibis_white,black,all_wheel_drive,gasoline,6_speed_automatic_with_auto_shift,5.2l_v10_40v_gdi_dohc,wuavnafg9cn001658,52312,godspeed_motors,,nc,used,audi,4.6,4.9,4.9,4.5,5.0,4.7,84995.0,4.7,2012,r8_5.2_quattro_spyder,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""homelink"", ""leather_seats"", ""navigation_system"", ""premium_sound_system"", ""stability_control""]"
white,,all_wheel_drive,gasoline,6_speed_automatic,4.2l_v8_40v_mpfi_dohc,waugl78e87a224620,103038,berkenkotter_motors_parker,17,co,used,audi,4.6,4.6,4.8,4.3,4.7,4.1,12988.0,4.7,2007,s4_4.2_quattro,"[""alloy_wheels"", ""brake_assist"", ""leather_seats"", ""stability_control"", ""sunroof/moonroof""]"
blue,charcoal_leathe,all_wheel_drive,gasoline,"auto,_8_spd_tiptronic",v6_cylinder_engine,wa1dgafp4fa053143,113581,fuzzy_dice_auto_sales,,pa,used,audi,4.8,4.8,5.0,4.6,4.9,4.8,17200.0,4.8,2015,s5_3.0t_premium,"[""alloy_wheels"", ""backup_camera"", ""bluetooth"", ""brake_assist"", ""heated_seats"", ""homelink"", ""keyless_start"", ""leather_seats"", ""memory_seat"", ""navigation_system"", ""power_liftgate"", ""premium_sound_system"", ""stability_control"", ""sunroof/moonroof""]"
