Id,Sch,Gr,ClType,HDeg,CLad,Exp,Trace,Read,Math,SES,SchType,Sx,Eth,BirthQ,BirthY,Yrs,Tch
101644,74,1,reg+A,BS/BA,NOT,23,W,558,542,N,rural,M,W,1980:2,1980,1,1294
86090,34,2,small,MS/MA/MEd,1,15,W,533,520,N,rural,M,W,1980:3,1980,2,598
50734,41,1,reg+A,BS/BA,PROB,3,W,503,529,N,suburb,F,W,1980:2,1980,1,700
37926,19,3,reg+A,BS/BA,1,26,B,565,616,F,inner,M,B,1979:4,1979,3,308
27238,27,K,reg+A,BS/BA,1,20,B,476,520,F,inner,F,B,1979:4,1979,0,452
98567,43,K,small,BS/BA,PROB,0,W,451,463,N,suburb,M,W,1979:4,1979,0,715
38384,1,1,reg,MS/MA/MEd,1,2,W,433,481,F,rural,M,W,1980:1,1980,1,8
47993,51,2,reg,BS/BA,1,17,W,544,548,F,suburb,M,B,1979:3,1979,2,876
170880,51,3,reg+A,MS/MA/MEd,1,32,W,610,606,F,suburb,F,B,1980:1,1980,3,891
41552,49,2,reg,MS/MA/MEd,1,11,W,549,538,F,rural,M,W,1979:1,1979,2,822
122878,13,K,reg,MS/MA/MEd,1,6,W,455,547,F,rural,F,W,1980:2,1980,0,205
68345,32,1,reg+A,BS/BA,NOT,31,B,487,495,F,inner,F,B,1980:3,1980,1,554
80857,51,2,small,BS/BA,1,33,W,611,620,N,suburb,F,W,1980:3,1980,2,874
177783,71,K,reg,BS/BA,1,6,W,414,412,N,rural,F,W,1979:4,1979,0,1236
183814,65,2,small,BS/BA,PROB,0,W,618,607,F,rural,F,W,1979:4,1979,2,1129
179088,21,1,reg+A,BS/BA,1,19,W,485,490,F,suburb,F,B,1979:1,1979,1,340
68855,21,2,reg,BS/BA,1,10,B,593,540,F,suburb,M,B,1979:4,1979,2,343
179979,5,2,reg+A,MS/MA/MEd,1,13,B,569,520,N,rural,M,W,1980:3,1980,2,77
175724,7,1,reg,MS/MA/MEd,1,13,W,548,612,N,rural,F,W,1980:2,1980,1,94
16827,75,3,reg,BS/BA,1,19,W,585,591,N,rural,F,W,1980:3,1980,3,1319
61048,16,3,small,MS/MA/MEd,1,29,B,654,651,F,inner,M,B,1979:4,1979,3,261
76080,35,1,reg+A,MS/MA/MEd,1,6,W,540,502,F,rural,M,W,1980:1,1980,1,613
27736,7,3,reg,BS/BA,1,24,W,610,642,N,rural,M,W,1979:4,1979,3,107
82889,54,3,small,MS/MA/MEd,1,20,W,636,648,F,suburb,F,B,1980:3,1980,3,937
51575,57,1,reg,MS/MA/MEd,1,11,W,544,601,N,rural,M,W,1979:4,1979,1,984
36989,19,2,reg,BS/BA,1,4,W,524,552,F,inner,F,B,1980:2,1980,2,300
20764,9,1,reg+A,BS/BA,1,10,W,521,518,F,urban,M,W,1980:2,1980,1,147
183373,75,3,small,Ed.S,1,13,W,616,648,N,rural,F,W,1980:2,1980,3,1317
42095,40,2,small,MS/MA/MEd,2,28,W,650,587,F,rural,M,W,1980:1,1980,2,686
145726,16,1,reg+A,MS/MA/MEd,1,4,W,512,526,F,inner,F,B,1980:2,1980,1,252
138945,17,3,reg,MS/MA/MEd,1,19,B,693,711,N,suburb,M,W,1980:1,1980,3,280
2701,21,K,small,MS/MA/MEd,1,14,B,447,500,N,suburb,F,W,1980:2,1980,0,330
62337,72,2,reg+A,MS/MA/MEd,1,8,W,604,611,F,rural,F,W,1980:1,1980,2,1264
116751,63,K,reg+A,MA+,1,12,W,418,489,N,rural,M,W,1980:1,1980,0,1080
130249,28,1,reg+A,MS/MA/MEd,1,6,B,431,463,F,inner,F,B,1980:3,1980,1,490
